Category,ProcessedText,SpeakerDialect
كوميدي,شلون مو فاضي دبره طلعه من تحت الارض يبي قروش نعطيه عقلنا مشوها بالسوق مفهوم,Najdi
كوميدي,اخ يا نهار اسود,Egyptian
درامي,اه فزت بالجنه,Egyptian
كوميدي,قاعد اذاكر يبا,Najdi
درامي,ا,Khaliji
كوميدي,طبعا يا بنيتي كان شايف ها الدنيا له حفلة وتدرين بعد,Khaliji
درامي,انا ويوسف ما عاد نتفق,Najdi
اطفال,يطلع ظالم و نصاب ويعمل مؤامرة ضد الاطفال,Hijazi
درامي,يمه فيس وين اروح يمه,Khaliji
درامي,وان مهما الانسان اوتي من العلم مايقدرش يحسبها بالمزبوط ابدا,Egyptian
درامي,انا ولدك,Khaliji
اطفال,القاعة هذي لها شروط معينة قولي كيف يا بابا وانا رح اجاوبك اقولك انا من غير ما تسال هاها,Hijazi
درامي,دى فيديو لوحدة مريضة بتضرب ابنها بشكل بشع قال ايه عشان ابوه طلقها لا وبتصور الولد وهي بتضربه هي في قلبها ايه ازي تقدر تعمل كده,Egyptian
كوميدي,ان الله بيعوضنا خيرا منها,Khaliji
درامي,قاموسك اللغوي ما فيه رد التحية,Najdi
اطفال,عموما يا جدو سرحان اه انا انا اسف اني دخلت في مواضيع ما في لها داعي بس الاهم من ذا كله يا جدو سرحان ميعاد الدواء,Hijazi
درامي,يا عمي حنا كذا ما رح نقدر نتفاهم ارجوك تسمعني,Najdi
درامي,حرك حرك,Khaliji
اطفال,صدقني صدقني يا خبير ده اعتبره وسام اعلقه على صدري,Hijazi
درامي,مرسي يا حبيبتي,Egyptian
اطفال,عبد الباسط اييه افضلو انو اليومين هذي يجلس هنا,Hijazi
اطفال,انت انت قلت لسعد انك بتشاور علشان اذا وافقت البنت تزوجه اياها,Hijazi
اطفال,انا بكرا اروح للتلفزيون واخليهم يسوون لنا احسن اعلان,Hijazi
كوميدي,يا خالي الرسم موب خرابيط الرسم فن,Najdi
درامي,استغفر الله العظيم استغفر الله,Khaliji
درامي,اسمع يا وليدي,Najdi
درامي,باقولك ايه يا دكتور سلطان,Egyptian
اطفال,قومي يا الله اكبر عليك صار,Hijazi
درامي,فعلا الجو برد قوي,Egyptian
درامي,قصدتش عمتي,Najdi
درامي,يحوم حوالين بيتنا,Khaliji
درامي,واذا نسيت ونوف,Khaliji
كوميدي,لكن ليش تيمسكوهم,Najdi
درامي,ولحامد عشرة,Hijazi
درامي,جلوسي انا ماله لزوم,Hijazi
درامي,لكن صدقيني من غيرتي على كرامتك,Khaliji
اطفال,ادمره انتو فاهمين لا لا ما حدا يقدر يوقف قدامي ابدا لا عدو ولا حبيب,Hijazi
اطفال,ايش رايك انا اتحداك وانت تتحداني,Najdi
اطفال,لكن انت معذور هذا اخوك ومن حقك تدافع عنه,Najdi
اطفال,يا شيخ ايش في كذا,Najdi
اطفال,طريقتي,Hijazi
كوميدي,كيف وتطق في الميت حرام,Khaliji
اطفال,هذا وعد قدامنا كلنا واعتقد اعتقد الدرس اللي اخذوا مننا اخر مرة رايح يغيرو,Khaliji
كوميدي,عموما انا عندي شغل,Hijazi
كوميدي,لا م مو مريض انا,Hijazi
كوميدي,تقبرني تقبرني يا ام صقر ابيها تقبرني يا يمه,Khaliji
درامي,وهالاوراق هذي ايش مكتوب فيها ومتى بتطلع,Najdi
درامي,ما حد يبيني خلاص,Hijazi
كوميدي,انا اقول لك بصفة ايش,Khaliji
اطفال,لسة بيختار و بيكتشف وبيحكي لنا تجربته ورايه الصريح وشكله للحين مصر على رايه,Najdi
اطفال,فعلا يا كبير انا بصراحة خايف على نفسي لاني في خطر وياريت يعني نخلص من الموضوع ده المجرب بسرعة ونروح,Khaliji
كوميدي,وبعدين رحمة يعني الحين تدافع عنك,Khaliji
درامي,قول لي ايش قاعد يسوي,Khaliji
درامي,لا يا خالتي هو قصده للناس الغرب يعني لما نروح مكان مع بعض الناس يعرفون انا فلانة زوجته,Najdi
كوميدي,لان عندك مراهقة متاخرة هذه على رايهم اللي في التلفزيون يقول لك عندك مم مراهقة الشيخوخة وبعدين انت شاي هاهاها شفت اذا عرست هاه بخليك تشوفلك حلقة حلقتين,Hijazi
درامي,كيف,Hijazi
كوميدي,ما يسوون شيء لا لا ما في احد تحت,Najdi
كوميدي,يعني مش هنلعب يعني مش هنلعب كعابة,Egyptian
كوميدي,اسمع يا اخ احمد,Khaliji
درامي,سواة الله,Khaliji
كوميدي,سامع حقي يعني,Egyptian
درامي,كنت اتمنى واقول متى اطلع من السجن,Najdi
درامي,لا تشيل هم امجد امجد في يدي,Najdi
اطفال,قولي يا كريم,Hijazi
درامي,بابا معودني دايما يشتري لي حاجة جديدة لما يكسب ولا يعطيني فلوسها,Hijazi
اطفال,فتنة انا بنفسي ايش بك,Hijazi
اطفال,اه هذي اكيد اخطاء من عيد وسعيد ايوا انا لازم اغيرهم,Hijazi
اطفال,الطريقة اللي انا فكرت فيها جات ضدك,Hijazi
درامي,اذا الله فكنا من هذه البلوة,Najdi
كوميدي,شلونك يا حمد,Najdi
كوميدي,بس يخرب بيتك,Egyptian
درامي,خلاص يلا خذ الوالدة خليها ترتاح في الغرفة,Khaliji
كوميدي,اي ما تطلع تشوف التسوير تشوف الشمس,Khaliji
اطفال,رايحين ندور عليه بس ارجوك لو وصل يا ريت تتصلوا بيا,Hijazi
كوميدي,بس شوف ياخوك انا بقول لك سر,Najdi
كوميدي,يا يمة انت ما تدري,Khaliji
درامي,انا اذا صرت مبسوطة اضحك,Najdi
كوميدي,تصبح على خير,Khaliji
اطفال,شكرا يا مساعد يا ابني بس الخدمة اللي اطلبها منك يا ولدي انك تبلغ العمدة اني انا ماني راجع تاني هنا,Hijazi
كوميدي,الخدامة هي اللي تنظف,Najdi
درامي,شوفيلي حل في المصيبة اللي انا فيها الله يخليك,Najdi
كوميدي,يا رجال ما في شي بس الله خيب ظنهم يوم من الله اه حاس علومهم ودفعتلهم اوراقهم ولا مت,Najdi
اطفال,ما راح اتنازل عن حق جعلص حماري العزيز,Hijazi
كوميدي,هالله هالله الناس على فين رايحين,Hijazi
كوميدي,شوفي يا عيال سم انا ابيكم تودوني ل ابوكم,Khaliji
درامي,ايه هاته هاته,Najdi
درامي,خالد اه اتمنالك التوفيق في حياتك وفي شورك,Hijazi
كوميدي,شوف انا بس يعني الحقيقة اخي العزيز من ناحية,Khaliji
كوميدي,تعابه,Najdi
درامي,وانا ماني عارف شلون عمي قابل وساكت على كل الكلام اللي يقوله مغيص هذا,Hijazi
كوميدي,او اقول لك بامكان مؤسستنا تقدم خصم عشرة في المية,Hijazi
كوميدي,هيام,Najdi
كوميدي,المهم,Najdi
درامي,تمام بنت روزلين,Najdi
كوميدي,يعطيك العافية استاذ يزيد مرة استفدت من الدورة,Hijazi
اطفال,طيب ممكن توطي صوتك شوي و تروحين تسوين عشا,Khaliji
كوميدي,ادور عليها,Najdi
درامي,يا لطيفة,Khaliji
كوميدي,يعني يا انور ميتين الف كتيرة على زوجتك,Hijazi
درامي,خالتي بس من اليوم ورايح ما نبي نفكر الا في الاشياء الزينة بس انا متاكد ان شاء الله ان الجاي كله زين,Najdi
كوميدي,الله يسلمك,Najdi
درامي,بس يا خالي,Hijazi
كوميدي,بانتظاركوا اوعوا تنسوا,Egyptian
درامي,انا مسافة الطريق تكوني انتي لبستي اوكي,Najdi
درامي,عبد الله سامعني,Khaliji
كوميدي,تنحاشون من المدرسة,Hijazi
اطفال,ياهلني اني اكون قائد الرحلة هذي,Hijazi
اطفال,اشتري يا ولدي مزرعة البخور,Hijazi
كوميدي,يا مطر معنى كلامك هذا انه اخوك موجود في الديرة,Khaliji
درامي,بس في موضوع مو جيد,Najdi
كوميدي,اي ايسكريم خزنه بنت ابو صبع خزنة تبيع ايس كريم في بيتهم ملوث فيه كلورا فيه سم ما ادري ايش فيه فكياس مي حبة يتركون الاسكريم النظيف اللي عندي اللي اشتريه من المصانع وياخذون ايسكريم من عند خزنوبنت ابوصبع ايه,Khaliji
كوميدي,توصي على شيء من البحرين بروح اغرق الوالدة قصدي بروح افرج الوالد على عذاري وعلى عذاري وذي,Khaliji
كوميدي,يجز يجز الحوش يجزه لا طلعنا لحن ولا حريمنا ولا,Najdi
درامي,ما حسيت بنفسي الا وانا قدامك وانت تفتح لي الباب,Najdi
كوميدي,يعني طولك مو مناسب,Najdi
كوميدي,زي ما قالتلك ماما الخير كتير الحمد لله يعني حاجات بسيطة كده خمس قرى سياحية في اسكندرية,Egyptian
اطفال,وفي نفس الوقت,Khaliji
درامي,هاهاها جوز شيخة,Hijazi
درامي,انتي فتحت الاكاونت بتاعك على الابليكشن دا تاني,Egyptian
كوميدي,من عند طيب,Najdi
درامي,انا ودي اسمع رايه وده بعد كل اللي سمعتها بعد كل اللي صار ابي اخلص عشان التفت لحياتي لحياتك يا اسما,Najdi
كوميدي,يلا يلا طيب اطلع على المريخ الحين ويهم قريبا يمه,Hijazi
درامي,هذي كحة بسيطة,Hijazi
اطفال,لو زعلت ما في شيء في الدنيا يخليني اعف,Hijazi
كوميدي,ما قدرتش لكن لاقيت انه افضل,Egyptian
اطفال,ولا كلمة انتي حتردي عليا ولا ايه هس,Egyptian
درامي,وكنت على طول اعطي ميزر ارخص الاجور,Khaliji
درامي,الامر لله اقوم اسوي الشاهي,Khaliji
درامي,ابدا يا امي انا ما سويت حاجة,Hijazi
اطفال,جاهزة,Hijazi
درامي,مسافة ما تقفل هتلاقي عندك اللوكيشن,Egyptian
درامي,ايه تذكرين يا ام هنود يوم اني صغير,Najdi
اطفال,ونعم بالله يا سعيد,Hijazi
كوميدي,بعدين ترى ها لا يجيني واحد بعد فترة يقولي والله انا مكتشف اكتشاف انه مسجون خمس سنين طلع من السجن رمز الامانة والشرف هذا ب حسن سيرة وسلوك شهادة هالكبر هالكبر من الصين هذا هذا ها ها ها,Najdi
كوميدي,ان شاء الله بس خلوه شوي يرتاح الان وان شاء الله بعد تاخذونه معاكم,Egyptian
اطفال,في موضوع مهم ابغى اتكلم معاك فيه,Hijazi
درامي,غير واضح هالسوالف,Khaliji
اطفال,اه اه انا اسف,Hijazi
اطفال,انه احنا في بيت علي بابا,Khaliji
كوميدي,ما شاء الله طلعت من الاوتيل,Khaliji
اطفال,ويمكن بعد سنة,Hijazi
اطفال,لو بدينا من اليمين واحد اثنين ثلاثه,Najdi
كوميدي,حقي وابيه يا خوي حقي ابيه,Khaliji
درامي,ستطاعشر ساعة,Khaliji
كوميدي,نقول لكم عن الاكتشاف الخطير,Najdi
اطفال,مين سوى كده,Hijazi
كوميدي,وبعدين تكذب علي تقول تعال,Najdi
كوميدي,ام رويشد,Najdi
كوميدي,اليوم رح نتكلم,Najdi
درامي,انت السبب في كل شيء,Khaliji
كوميدي,احنا موافقين ايس اس اس الناس اللي منورنا حبايب البي اهل العريس اهل العروسة الناس الكومة للي منورنا اقدم لكم لمعة الاحساس لمعة الشجن والطرب العاطفي المطرب خالد حركة,Egyptian
اطفال,لما خرجت من البيت لو كنت اعرف ومدير معدي,Hijazi
اطفال,تعال هنا,Hijazi
اطفال,هو كده يا سعيد,Hijazi
كوميدي,هاهاها ما شاء الله عليك ومثقفة ايام عنبر,Khaliji
كوميدي,اي فلوس يا خالي اي فلوس الله يهداك,Najdi
كوميدي,باي باي باي,Najdi
اطفال,الله اكبر,Hijazi
درامي,اتفضل,Najdi
اطفال,يعني يعدل من سلوكه الغلط لما نشوف شي غلط ما نسكت ونعدله فاهم,Hijazi
اطفال,ما حصل نحن ما سرقنا اي شي,Hijazi
اطفال,يا ريت تجهزولي قوة و بسرعة,Najdi
كوميدي,اه اه لا تتكلم وانت تاكل,Najdi
درامي,اسمعي يا ستي قالت لي انه الرجال حط ربنا سبحانه وتعالى فيهم حاجتين لكن نحنا الحريم حاجة وحدة,Khaliji
درامي,كيف حالك يا حامد,Hijazi
كوميدي,تعاملك مع الزباين مميز امم مبيعاتك اه نوت باد لكن اتباعك للنظام ليك عليه,Khaliji
درامي,تقدرين ترجعين الفيلا,Khaliji
كوميدي,اشوف ايه سبعة وثلاثين بوصة,Hijazi
اطفال,يعني كان لازم تتحمس وتمشي وتستعجل قبل ما ناخذ عنوان الدكتور سنكر من رئيس التحرير,Hijazi
درامي,انا لله وانا اليه راجعون,Najdi
اطفال,معلمك يا مرعي قول للواد اللي على المطبخ يشوف شغله كويس لحسن اكل خشمه,Egyptian
كوميدي,وفي نقطة احب اضيفها انه المكتب انا الحقيقة شايف مكركب والوانه مش عاجبتني ولا في تنسيق الوان ولا في,Najdi
اطفال,يلا يمه تعالي تعالي,Khaliji
كوميدي,بصراحة موضوع يخوف,Khaliji
اطفال,نسر ولا فريد,Hijazi
اطفال,انا ما ما ما ما ما في شي ما في شي,Hijazi
درامي,عرف اني خدتك من شغلك كمان,Egyptian
درامي,خلصتي,Khaliji
درامي,مغيث,Najdi
اطفال,مين راح يصور الصور اللي احنا نبغاها اساسا,Hijazi
درامي,احس انه ماهم طايقيني احس اني ثقيل عليهم,Najdi
درامي,لا بس تذكرت يوم كنا صغار كنا نوقف كذه على الشباك ونرجع عيال الحارة,Hijazi
كوميدي,ناصر حل المسالة اللي على الصبورة,Najdi
كوميدي,جميل ونسوي مشروع لتزويج الشباب و نسميه مشروع الواصل لتزويج الشباب,Najdi
كوميدي,خمسة الاف,Najdi
كوميدي,هو الذي يفعل الفعل طبعا ممكن نقول احنا كيف يفعل الفعل وهذا يقولها يا استاذ مثلا كيف يفعل الفعل,Najdi
كوميدي,الف ريال يا يمه والله يعلم يا وليدي من وين,Khaliji
اطفال,تطمنت على ولدك,Hijazi
كوميدي,يمه ترى صدق انتي بطيتي غيرواضح,Khaliji
اطفال,انا اعتقد انه في سر ورا الاسم ذا,Hijazi
درامي,فايزة لو طلبت ذبيحة اجبلها هي واتابعها بنفسي واطبخها اوزي كمان,Hijazi
كوميدي,هذي نظارتك هذي,Najdi
درامي,لحظة لحظة حبيبي,Khaliji
درامي,خير وش فيها,Najdi
درامي,اسمع يا سلطان,Egyptian
اطفال,كانت غايبة عن بالنا,Hijazi
كوميدي,كنا على قدنا مبسوطين ومرتاحين وشو اللي جانا وش اللي خلانا فجاة نتكلم بالملايين ام,Hijazi
درامي,حبيبة جدها يلا يا جماعة نستاذنكم طمنا عليك يوبا وما تشوف شر ان شاء الله,Hijazi
درامي,لحظة لحظة,Najdi
درامي,خالد,Hijazi
كوميدي,اذا مرزوق ناثينج مناحي ايفري ثنك امبوسيبول,Khaliji
درامي,لانك اكثر وحدة ضغطتي عليه وخليتيني اتزوجها,Khaliji
اطفال,رغم صوته واطي لكن مش مريح برضه,Hijazi
كوميدي,اكتب اسمك هنا,Najdi
كوميدي,فكرت هذا كله مخ هذا انا عندي افكار لقبل بس وينه مرمر زماني يعني,Khaliji
كوميدي,يعني ما فيش في العالم كله الا عامر ادرسه عامر,Egyptian
اطفال,ما اقدر اشتري البارد شفت الماساة اللي انا عايش فيها انت مستحيل تكون ابويا,Hijazi
اطفال,حمدان حمدان,Egyptian
كوميدي,اه بتعتي انا,Egyptian
كوميدي,قيام,Najdi
اطفال,قلبي اسرقو الالف,Hijazi
كوميدي,واثنين منكم حيكون في تصويت اللوميني اللي علمتكم اياها اللو ميني عارفينها هذه هي على فكرة الحفل حيكون بث مباشر لايف لايف يا حبايب لايف,Najdi
كوميدي,كلمونا الادارة طيب شوفوا لكم حل فيهم,Khaliji
اطفال,افتح الالة الحاسبة,Najdi
درامي,ام زكي اه يا ام زكي كل يوم يجوا يدقوا عليا الشقة يحسبوها شقتها يقولوا اكلها فن واكلها جييفة,Najdi
كوميدي,لا سوي اللي قلت لك عليه وبس,Najdi
درامي,غيرواضح شوي,Khaliji
كوميدي,الله يهداك بس يعني وش اسوي بنتك عنيدة ورايها من راسها,Najdi
كوميدي,كثر الله من امثالك تمام,Egyptian
اطفال,سر الحكايات كله مفاجات,Hijazi
كوميدي,كاتب ملغرف وش منغرف,Najdi
كوميدي,اي ابوك كان حكيم الله يرحمه ويسكنه فسيح جناته هاش انه ما قلك تاخذ بت عمك هل خسيس عديم الاخلاق والانسانية,Hijazi
درامي,ابيك تسمعني زين يا عبد الله,Khaliji
كوميدي,احذف المادة لو تحذف المادة انا,Khaliji
اطفال,للاسف كل المياه العذبة اللي في ابار الجزيرة راح تنضب,Khaliji
كوميدي,اللي اقصد اقوله انه ما فيش داعي للورق بينا,Egyptian
كوميدي,مدري يا ابو هزار المرة اول ما سمعت صوتك قاعد تكلمني وكنه احد يمها توه يتحرك قام وتقول وتحرك ولدي وش مستانسة وفرحانة,Najdi
درامي,كلها ما تخلط بعقلي,Najdi
درامي,هذي اخرتها يا احمد,Hijazi
درامي,الله يرزقنا حبها,Najdi
كوميدي,يوبا ماجد الحين السواق الثاني يعرف يتكلم عربي,Najdi
درامي,اصرفوا على انفسكم,Khaliji
اطفال,ترى وش عندك يا وضحى,Hijazi
كوميدي,ابغى الماء والدواء,Najdi
درامي,عملت كده يا مفتريه,Egyptian
درامي,الظاهر انك انت متاثر فيه لانه استطاع انه يغشك ويضحك عليك,Najdi
اطفال,لا ما راح استنى احد امي امي,Khaliji
درامي,المدخول,Khaliji
درامي,شلون,Najdi
اطفال,با بابا فرحان تقلي متى تتعلم و كذا,Hijazi
كوميدي,اسمع,Najdi
درامي,كان يجيبه,Hijazi
درامي,الكلب الحقير,Egyptian
درامي,انت الي كاسرلنا الباب و جايين تاخد اختك بالقوة ها,Hijazi
كوميدي,يا الله يا ام عنبر انت كده قاعدة تحرجيني,Najdi
درامي,اصيلة,Khaliji
اطفال,انا ماني قادر اصدق انه اللي بيتكلم ده هو تور الوحش,Khaliji
كوميدي,ايش هادا الشاهي ما فيه سكر شيلي حطي سكر في الشاهي,Hijazi
اطفال,كنز,Hijazi
كوميدي,ايوة,Egyptian
اطفال,لا طبعا حتى لو انت كنت مكاني كنت رايح تيجي وتستسلم,Khaliji
اطفال,شوف الاخ الي واقف مع موظف الاستقبال ركز عليه انا شايف انه بيحاول يسمع منا كل كلمة بنقولها,Hijazi
اطفال,انا اي انا دحين دخلت في الموضوع,Hijazi
كوميدي,لكن عمرها ما كانت مبرر للقطيعة,Khaliji
درامي,شو تخربط الحين تقول الله هداك شو تخربط,Najdi
اطفال,في الكهف الي راح مني,Hijazi
درامي,ارجوكم لا تعذبوني لا تتعبوني اكثر ماني تعبانه,Hijazi
كوميدي,ايه والله,Khaliji
درامي,ماشي يا سيدي,Hijazi
كوميدي,خلاص يا خزنة انا بشتغل عليه على الاقل يخفف علينا المصاريف,Najdi
كوميدي,ومتى ان شاء الله تعلم متى تعلم وتسوي شاي مثل الاوادم يوم ثقيل ويوم خفيف,Khaliji
كوميدي,هذا جزاي ياخزنة,Khaliji
درامي,سلطان انا حاسس حالي بالسعودية هون ضايع,Egyptian
اطفال,راح يدينا فرصة عشان نهرب,Hijazi
كوميدي,يربح الفواكة وش البرنامج اللي يربح الفواكه انا ساربح عمر,Najdi
اطفال,حكمنا عليكم بالسجن مدى الحياة,Hijazi
اطفال,هي ام الخير سوت شيء غلط,Hijazi
كوميدي,فيصل فيصل ذيبان ما يجي هذي خطته هاهاها علي الملازم مناحي انا طالبك طلب,Najdi
كوميدي,الحين دخلنا في مدخل رجال ومدخل حريم,Najdi
اطفال,انا قلت وما كنت ايه فاهم شي ولمن عرفت انه عاداتكم وتقاليدكم تمنع ايه جيتك للارض علشان اعرف الحكاية بالزبط بس ما لقيتك,Hijazi
درامي,انا حاسس اني حاستفيد منه كوييس,Egyptian
كوميدي,ما شا الله تبارك الله ما شا الله و الواحد شلون بنقف القفلة هذي الحين,Najdi
اطفال,كابتن صالح,Hijazi
درامي,مؤقتا عندنا لين نشوفله الوظيفة,Hijazi
اطفال,موقف ايش جايبني هنا زي العصابات ومربطني وتقول يخ عمل وطني وخدمة البلد هذا في كلام مجانين احنا ياسين انا,Khaliji
اطفال,المفتاح الله يخليك المفتاح المفتاح هات المفتاح احسن لك هات المفتاح هات مفتاح هات المفتاح احسن لك,Hijazi
درامي,تصدق يا فهد,Egyptian
كوميدي,اذا ما رصدت لها الميزانية اللي انا حاطها اعتقد وبكل اسف انها ممكن تطلع بس بشكل سيء جدا,Najdi
درامي,صدقيني يا سلوى,Hijazi
درامي,وش اكثر حاجة,Egyptian
